drug,country,analysis
Adderall,Finland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'You can buy prescription medicines in Finland with either a paper prescription or European ePrescription. Foreign prescriptions can also be used if they are valid and the necessary conditions are met.', 'regulations': 'Adderall has a boxed warning due to risks of misuse and dependence. Importing medicinal products for personal use is regulated under the Government Decree on importing medicinal products to Finland.'}"
Adderall,France,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider in France is required, and prescriptions from other EU/EEA countries can be recognized if the medication has market authorization in France.', 'regulations': 'The drug must have market authorization in France and can only be dispensed if prescribed by a licensed practitioner. There are specific warnings about the risk of misuse and dependence.'}"
Adderall,Germany,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A physician may prescribe controlled drugs, including Adderall, for appropriate quantities based on the patient's needs."", 'regulations': 'The Narcotic Drugs Act regulates the use of controlled substances, and the German Medicinal Products Act governs the movement of medicinal products. Travellers can bring medicinal products in quantities that meet usual personal needs, and controlled drugs can be imported or exported with a prescription.'}"
Adderall,Greece,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Prescription from a licensed healthcare provider in Greece', 'regulations': 'Adderall is not available by brand name; alternatives like Ritalin and Concerta are available by prescription.'}"
Adderall,Hungary,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Have your doctor fill out form 12 and bring a copy of your prescription. For narcotics or longer than 30 days, fill out Form 13 with additional documentation.', 'regulations': 'The quantity of narcotic drugs for 3 to 90 days must be accompanied by an official certificate from the competent authority in the country of origin. Psychotropic substances for 30 to 90 days also require an official certificate. The Department of Narcotic Drugs Control attests certificates issued by the GP for travelers from Hungary.'}"
Adderall,Iceland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""An individual must produce a physician's certificate, a prescription, or other written declaration along with instructions for use, providing satisfactory proof that the medicinal products have been acquired by legitimate means and are necessary for use."", 'regulations': 'The Directorate of Health supervises prescriptions and promotes the prudent use of medicinal products. There are regular monitoring procedures for prescriptions of addictive drugs, especially in cases of suspected violations of regulations.'}"
Adderall,Ireland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a registered health professional (doctor, dentist, or nurse) in Ireland is required. Prescriptions from the UK and EU/EEA are valid if they contain certain information.', 'regulations': 'From April 1st, 2023, Schengen residents need an Article 75 Schengen Certificate for carrying prescribed narcotics and/or psychotropic substances when entering Ireland from a Schengen country. Possession of controlled drugs without a prescription is an offense under the Misuse of Drugs Act 1977.'}"
Adderall,Israel,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Thorough evaluation by a doctor certified in diagnosis and treatment of ADHD is required.', 'regulations': 'Controlled under the Dangerous Drug Ordinance 5733-1973, amended to include new psychoactive substances.'}"
Adderall,Italy,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Medical prescription required, especially for patients with a history of drug dependence or alcohol use disorder.', 'regulations': 'Controlled substance with specific regulations for international travel; prescriptions for special medical products are not recognized unless purchased in the EU.'}"
Adderall,Japan,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': 'Import certificate (Yakkan Shoumei) required for personal use, but stimulant medications like Adderall are prohibited.', 'regulations': 'All medications containing stimulants are prohibited in Japan. Importing stimulant drugs such as methamphetamines and amphetamines is strictly prohibited, even with customs declaration and prescriptions.'}"
Adderall,Korea,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': 'Prescription from a licensed medical professional is required for stimulant medications like Ritalin, but not for Adderall as it is not prescribed in Korea.', 'regulations': ""Non-prescribed amphetamine-based medications are banned in South Korea, and importation without a doctor's prescription is illegal.""}"
Adderall,Latvia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A certificate for the use of narcotic or psychotropic substances for medical purposes issued by a physician and approved by the Health Inspectorate is required.', 'regulations': 'Medicinal products containing substances included in Schedules II and III can only be imported for personal use with proper certification, and there are regulations to manage the export of such products to ensure availability within Latvia.'}"
Adderall,Lithuania,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription delivered by a doctor in one EU country is valid in all other EU countries.', 'regulations': 'The proper process for prescribing ADHD stimulant medications involves a thorough evaluation of the patient, including personal examinations and rating scales of ADHD symptoms.'}"
Adderall,Luxembourg,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Adderall is classified as a controlled substance and is subject to strict regulations regarding its prescription and distribution.'}"
Adderall,Mexico,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed medical professional is required to obtain Adderall in Mexico.', 'regulations': 'There are significant concerns regarding counterfeit medications, and the U.S. Embassy has issued health alerts about counterfeit pharmaceuticals available in Mexico, including Adderall.'}"
Adderall,Netherlands,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a doctor is required to obtain Adderall.', 'regulations': 'Adderall is regulated under the Dutch Opium Act, requiring a certificate for travel with the medication.'}"
Adderall,New Zealand,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""Prescriptions can only be made electronically for a maximum of three months' supply due to recent regulatory changes."", 'regulations': 'Aligned with the Medicines Amendment Regulations 2022 and Misuse of Drugs Amendment Regulations 2022, with specific funding arrangements for ADHD treatments.'}"
Adderall,Norway,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A doctor can apply for 'godkjenningsfritak' ('approval exemption') for legal prescription."", 'regulations': 'Adderall is not generally approved for clinical use in Norway; however, it can be legally prescribed if approved through the exemption process.'}"
Adderall,Poland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a Polish doctor may be required, especially if you are not already taking it.', 'regulations': 'Adderall can be legally obtained in Poland, but it must be imported by a pharmacy. Doctors are typically reluctant to prescribe it due to potential risks of drug dependence.'}"
Adderall,Portugal,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Doctors typically will not prescribe Adderall and Adderall XR for individuals with a history of drug dependence or alcohol use disorder.', 'regulations': 'Possibility of incarceration for possession of drugs for personal use (minor offence). The legal framework for drug use is established under Decree Law 15/93 of 22 January 1993.'}"
Adderall,Slovak Republic,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Valid prescription from a licensed healthcare provider', 'regulations': 'Controlled substances like Adderall are subject to strict regulations in Slovakia, including a ban on re-export of medicines.'}"
Adderall,Slovenia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A physician must prescribe the medication after a thorough evaluation of the patient, verifying the diagnosis and assessing ADHD symptoms, as well as considering the patient's history of drug dependence or alcohol use disorder."", 'regulations': 'Adderall is approved for circulation in Slovenia and is included in the positive or intermediate list of the Health Insurance Institute of Slovenia (ZZZS). It is advisable to carry a health care identification card when collecting the prescription from a pharmacy.'}"
Adderall,Spain,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Original prescription from a doctor; appointment with a private doctor in Spain needed to obtain a local prescription.', 'regulations': ""Adderall is a controlled substance in Spain; consult Spain's embassy to verify legality of prescriptions and carry small quantities for personal use.""}"
Adderall,Sweden,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'You need to visit a doctor in Sweden with paperwork from your doctor in the US, but doctors typically cannot prescribe Adderall in Sweden.', 'regulations': 'Adderall is regulated under Swedish law, and any preparation classified as a medicine in Sweden is subject to Swedish Medical Products Agency rules. E-prescriptions are common, and the Swedish eHealth Agency manages the National Medication List.'}"
Adderall,Switzerland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Adderall in Switzerland.', 'regulations': ""Individuals may import up to one month's supply of Adderall for personal use, and narcotics require a certificate when travelling. Doctors are cautious in prescribing due to risks of dependence.""}"
Adderall,Turkey,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Valid prescription from a licensed healthcare provider in Turkey.', 'regulations': 'Importation of controlled substances like Adderall requires specific documentation and approval from Turkish authorities.'}"
Adderall,United Kingdom,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': 'A prescription is required to obtain Adderall legally in the UK.', 'regulations': 'Adderall is classified as a Class B drug in the UK, meaning it can only be legally obtained and handled with a prescription.'}"
Adderall,United States,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Prescriptions can be made online until Nov. 11, 2023, due to pandemic-related rules.', 'regulations': 'Controlled substance with strict regulations due to concerns of misuse, abuse, addiction, and overdose. FDA is updating warnings and monitoring prescribing practices.'}"
Ritalin,Australia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Approval from the NSW Ministry of Health is required to prescribe or supply methylphenidate, and a pharmacist cannot dispense unless the prescription shows an approval number.', 'regulations': 'Possession without a prescription is illegal, with penalties including up to 2 years imprisonment and/or a $2,200 fine as per the Drug Misuse and Trafficking Act 1985 (NSW).'}"
Ritalin,Austria,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription issued by a doctor is required; must be collected within 28 days; identity proof may be required.', 'regulations': 'Prescription validity is generally twelve months unless noted otherwise; screening for blood pressure or heart rate is required before treatment; regulations apply to bringing medicines into the country.'}"
Ritalin,Belgium,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid medical prescription or a certificate validated by public authorities is required to obtain methylphenidate in Belgium.', 'regulations': 'Methylphenidate is a controlled drug, requiring identity verification when collecting prescriptions. Prescriptions must be collected within 28 days.'}"
Ritalin,Canada,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed healthcare professional is required to obtain Ritalin.', 'regulations': 'Health Canada does not require pharmaceutical companies to report drug shortages, although drug makers may opt to voluntarily alert doctors and pharmacists.'}"
Ritalin,Chile,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare professional is required to obtain Ritalin.', 'regulations': 'Regulated under Decree No. 867/2007, which governs the trafficking and use of psychotropic substances in Chile.'}"
Ritalin,Colombia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Ritalin in Colombia.', 'regulations': 'Governed by Colombia’s Law 30 of 1986, which grants authority to the Ministry of Health and Social Protection and the National Drug Council to regulate controlled substances.'}"
Ritalin,Costa Rica,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A prescription from a doctor or a licensed healthcare professional is required.', 'regulations': ""Costa Rica's Law 8204 of 2001 defines drugs by reference to UN Convention definitions and requires the Drug Surveillance Council (JVD) to maintain a comprehensive, updated list published on the Ministry of Health's website.""}"
Ritalin,Czech Republic,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed healthcare provider is required.', 'regulations': 'The export and import of Ritalin require permits from the Ministry of Health of the Czech Republic. It can only be imported in volumes corresponding to personal use.'}"
Ritalin,Denmark,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Documentation for your condition from a home doctor, and information about the specific type of medication being taken.', 'regulations': ""You can import medicines for personal use, but only non-prescription products from the country of purchase. For medicines containing euphoriant substances, only a maximum of 14 days' personal consumption is allowed.""}"
Ritalin,Estonia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription issued by a licensed healthcare provider is required to obtain Ritalin.', 'regulations': 'Methylphenidate is regulated as a narcotic or psychotropic medication in Estonia. Patients must be screened for blood pressure and heart rate issues before treatment, and there are guidelines for ongoing monitoring.'}"
Ritalin,Finland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription is required, which can be either a paper prescription or a European ePrescription. Prescriptions for medicinal products are only valid for one year.', 'regulations': 'Ritalin is classified as a prescription drug and may be classified as a narcotic substance. Patients can only bring it for personal use from abroad with certain restrictions.'}"
Ritalin,France,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Hospital-only prescription for ADHD treatment in children aged 6 years and over.', 'regulations': 'Prescription and distribution conditions are restricted to limit misuse, inappropriate or overuse.'}"
Ritalin,Germany,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A physician may prescribe appropriate quantities of controlled drugs for patients. Patients are permitted to import or export these drugs in quantities appropriate for the duration of their journey based on a physician's prescription."", 'regulations': 'Controlled substances are regulated by the German Narcotic Drugs Act (Betäubungsmittelgesetz or BtMG). Trade and possession without a license or prescription is illegal; drugs on Anlage I and II cannot be prescribed, and drugs on Anlage III require a special prescription form.'}"
Ritalin,Greece,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A valid prescription from a licensed medical professional, with screening for blood pressure or heart rate before treatment.', 'regulations': ""Recommendations include pre-treatment screening and ongoing monitoring of patients, as per the European Medicines Agency's guidelines.""}"
Ritalin,Hungary,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Medical prescriptions are required and can be obtained through doctors in contract with the National Health Insurance Fund of Hungary. Prescriptions can be issued in paper format or electronically through the National E-health Infrastructure (EESZT).', 'regulations': 'Patients should be screened for blood pressure or heart rate issues before treatment, and ongoing monitoring is recommended.'}"
Ritalin,Iceland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed physician is required to obtain Ritalin in Iceland.', 'regulations': 'Ritalin is subject to strict regulations due to its classification as a controlled substance. It can only be prescribed for medical conditions such as ADHD and must be monitored through the Prescription Medicines Database.'}"
Ritalin,Ireland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid medical prescription from a health professional registered in Ireland or the EU/EEA.', 'regulations': 'Methylphenidate-containing medicines are regulated to ensure their use is safe and effective, especially for children and adolescents with ADHD.'}"
Ritalin,Israel,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Ritalin in Israel.', 'regulations': 'Ritalin is available only in measured quantities and is subject to strict regulations due to its potential for misuse.'}"
Ritalin,Italy,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Valid prescription from a licensed physician specifying the diagnosis and quantity.', 'regulations': 'Methylphenidate is classified as a psychotropic substance in Italy; patients must have a special medical prescription and may need to declare it at customs when traveling.'}"
Ritalin,Japan,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': 'You must have a prescription or related documents certifying the medication is for your treatment.', 'regulations': 'ADHD medications are strictly controlled and require an import certificate to bring into Japan. Some medications may be completely banned.'}"
Ritalin,Korea,"{'legal_status': <LegalStatus.LEGAL: 'legal'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A prescription from a licensed psychiatrist is required.', 'regulations': 'Methylphenidate products are regulated, and they must be prescribed for legitimate medical needs such as ADHD.'}"
Ritalin,Latvia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription issued by a healthcare professional or an e-prescription along with a personal identification document (passport or ID card) is required.', 'regulations': 'Patients may receive unauthorized medicinal products after authorization from the State Agency of Medicines. Export of medicinal products is regulated to ensure availability within Latvia.'}"
Ritalin,Lithuania,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Patients must be screened for blood pressure or heart rate issues before treatment. A prescription is required from a qualified healthcare provider.', 'regulations': 'Methylphenidate is approved for treating ADHD in children aged six years and older and adolescents as part of comprehensive treatment programs. Monitoring and ongoing assessments are required.'}"
Ritalin,Luxembourg,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed healthcare provider is required to obtain Ritalin in Luxembourg.', 'regulations': 'Ritalin can only be used for the treatment of ADHD and narcolepsy, and is subject to monitoring for safety and efficacy as per EMA recommendations.'}"
Ritalin,Mexico,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': ""Carry a copy of your prescription or doctor's letter when purchasing medications."", 'regulations': 'Subject to Mexican law; some medications considered over the counter in the U.S. may be controlled substances in Mexico.'}"
Ritalin,Netherlands,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A doctor's prescription is required to obtain Ritalin."", 'regulations': 'Ritalin is regulated under the Opium Act in the Netherlands. Patients must be screened for blood pressure or heart rate issues before treatment.'}"
Ritalin,New Zealand,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A specialist recommendation is required, which expires after two years unless renewed by further consultation.', 'regulations': ""Controlled drugs can be prescribed for a maximum of three months' supply when using the New Zealand Electronic Prescription Service (NZePS). Non-NZePS barcoded prescriptions must meet specific regulatory requirements and authorization.""}"
Ritalin,Norway,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Legal access required, typically through a prescription from a licensed healthcare provider.', 'regulations': 'Regulated under the Medicines Act of 1994; illegal to use or possess without legal access.'}"
Ritalin,Poland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Methylphenidate-containing medicines are regulated due to their potential for abuse and are subject to specific guidelines for use in children with ADHD.'}"
Ritalin,Portugal,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed healthcare professional is required.', 'regulations': 'Methylphenidate, including Ritalin, is regulated in Portugal and requires careful monitoring and adherence to specific guidelines for treatment, especially for ADHD.'}"
Ritalin,Slovak Republic,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription is required from a licensed medical professional, typically for patients diagnosed with ADHD or narcolepsy.', 'regulations': 'Patients must be screened for blood pressure and heart rate issues before treatment. The drug is used as part of comprehensive treatment programs for children and adolescents.'}"
Ritalin,Slovenia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A physician must prescribe Ritalin, and it must be listed in the positive or intermediate list of the ZZZS (Health Insurance Institute of Slovenia) for it to be collected at a pharmacy.', 'regulations': 'Patients must be screened for blood pressure and heart rate issues before treatment. The product information should contain specific safety information as determined by the European Medicines Agency.'}"
Ritalin,Spain,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""Valid prescription from a licensed healthcare professional, preferably issued in the patient's autonomous community of origin."", 'regulations': 'Patients must be screened for blood pressure or heart rate issues before treatment. Cross-border prescriptions are allowed within the EU, but availability may vary.'}"
Ritalin,Sweden,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Documentation for the condition from a home doctor and information about the specific medication.', 'regulations': 'Patients must be screened for blood pressure or heart rate problems before treatment; a prescription from a doctor in one EU country is valid in other EU countries, but availability may vary.'}"
Ritalin,Switzerland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Patients must be screened for blood pressure and heart rate before treatment, and a certificate is required when traveling with the medication in Schengen countries.'}"
Ritalin,Turkey,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Travelers must declare the prescription to border control upon arrival, and if the stay exceeds 15 days, they must contact Alcohol and Substance Dependence Treatment Centers.'}"
